age,annual_income,employment_length,loan_interest_rate,loan_percent_income,person_home_ownership,person_default_on_file,person_cred_history_length,loan_status
22,19200,6,14.910,0.070,MORTGAGE,Y,4,1
24,79000,8,7.900,0.270,RENT,N,2,0
26,125000,5,8.900,0.170,RENT,N,2,0
25,34000,10,8.880,0.590,RENT,N,4,1
25,50950,5,11.480,0.390,RENT,N,3,1
24,55000,8,6.910,0.360,RENT,N,2,1
26,49000,0,19.790,0.410,RENT,N,3,1
26,20280,5,8.000,0.350,MORTGAGE,N,2,0
26,60000,3,10.080,0.330,RENT,N,4,1
24,61000,2,12.180,0.330,RENT,N,4,1
24,62400,8,11.120,0.320,RENT,N,2,1
25,70000,5,9.990,0.290,RENT,N,2,0
24,72000,4,14.740,0.280,RENT,Y,3,0
24,74000,0,12.690,0.270,RENT,N,3,0
24,75000,4,8.880,0.270,RENT,N,3,0
24,69000,0,14.820,0.290,RENT,N,4,1
26,71004,0,13.360,0.280,RENT,Y,2,1
26,78000,8,13.850,0.260,RENT,Y,4,0
26,21600,0,10.360,0.050,MORTGAGE,N,3,0
25,80004,9,14.260,0.250,RENT,Y,4,0
23,76042,6,15.050,0.260,RENT,Y,4,1
24,78996,2,14.110,0.250,RENT,N,2,1
23,78000,0,18.250,0.260,RENT,Y,2,1
24,99996,0,14.220,0.200,RENT,Y,3,0
25,87996,0,16.350,0.230,RENT,N,3,1
25,100000,9,13.060,0.200,RENT,Y,2,0
22,22800,0,11.710,0.310,MORTGAGE,N,3,1
24,22800,3,11.360,0.210,OWN,N,3,0
23,23000,7,17.270,0.160,MORTGAGE,Y,3,1
26,160000,3,9.990,0.130,RENT,N,3,0
26,172500,3,11.830,0.120,RENT,N,2,0
22,10000,0,14.740,0.100,RENT,N,4,1
25,50000,2,10.990,0.380,RENT,N,4,1
24,73000,8,10.620,0.260,RENT,N,3,0
24,105000,2,12.290,0.180,RENT,Y,2,0
24,73000,0,7.900,0.250,RENT,N,2,1
26,44000,0,14.910,0.410,RENT,N,4,1
25,55344,2,10.990,0.330,RENT,N,4,1
25,65000,9,13.990,0.280,RENT,N,3,0
24,59000,1,14.960,0.310,RENT,Y,4,1
26,60000,2,16.290,0.300,RENT,Y,2,1
24,70000,1,9.880,0.260,RENT,N,2,0
26,80171,3,13.850,0.220,RENT,N,3,0
26,24000,1,10.990,0.250,MORTGAGE,N,4,0
26,95000,9,15.310,0.190,RENT,N,3,0
24,70000,1,10.620,0.250,RENT,N,2,0
25,32400,1,15.950,0.540,RENT,Y,3,1
25,95950,2,11.710,0.180,RENT,N,2,0
26,29400,1,12.990,0.580,RENT,Y,2,1
22,25000,0,9.990,0.120,MORTGAGE,N,3,1
24,74000,1,15.650,0.230,RENT,Y,3,1
26,97000,11,12.420,0.170,RENT,N,3,0
25,25000,5,14.170,0.080,OWN,N,3,0
26,42000,0,17.580,0.400,RENT,N,3,1
25,59160,0,14.180,0.280,RENT,N,4,1
25,56000,0,12.800,0.290,RENT,Y,3,1
25,57504,2,9.320,0.290,RENT,N,3,1
24,61000,3,10.990,0.270,RENT,N,4,0
25,39000,1,17.140,0.410,RENT,Y,3,1
24,39000,2,13.060,0.410,RENT,N,2,1
25,25200,5,15.990,0.050,OWN,Y,3,0
22,57175,6,17.150,0.280,RENT,N,4,1
25,66000,6,10.000,0.240,RENT,N,4,0
23,60996,0,16.000,0.260,RENT,N,3,1
26,74000,4,14.840,0.220,RENT,Y,3,0
26,74999,4,17.270,0.210,RENT,Y,4,0
26,26000,7,10.990,0.270,MORTGAGE,N,4,0
22,28000,0,16.290,0.040,RENT,Y,3,1
26,26004,5,11.990,0.230,MORTGAGE,N,2,0
26,26004,2,11.140,0.380,MORTGAGE,N,3,0
25,26400,1,8.900,0.280,MORTGAGE,N,3,0
26,96000,0,10.360,0.010,RENT,N,3,0
23,27000,0,15.990,0.040,MORTGAGE,Y,3,1
21,34000,5,12.690,0.040,RENT,N,4,1
22,29004,0,15.700,0.040,RENT,Y,4,1
22,34000,0,14.610,0.040,RENT,Y,4,1
24,64000,8,13.490,0.020,RENT,N,3,1
25,27600,1,6.030,0.420,MORTGAGE,N,4,1
26,30000,0,14.610,0.050,RENT,Y,3,1
24,30996,0,15.990,0.050,RENT,Y,2,1
23,28000,4,14.840,0.190,MORTGAGE,N,2,1
26,54000,1,13.980,0.030,RENT,Y,4,0
21,51000,0,15.580,0.030,RENT,Y,4,1
24,60000,0,6.540,0.030,RENT,N,4,0
26,96000,2,6.540,0.020,RENT,N,2,0
24,28800,8,8.900,0.050,MORTGAGE,N,3,1
24,75000,5,8.940,0.020,RENT,N,4,0
25,28800,9,10.250,0.220,MORTGAGE,N,2,0
25,12000,2,11.890,0.170,RENT,N,4,1
26,29000,10,8.490,0.250,MORTGAGE,N,4,0
22,23587,4,11.890,0.080,RENT,N,4,1
23,82000,7,18.250,0.180,RENT,Y,2,1
24,88000,2,9.990,0.170,RENT,N,4,1
24,100896,7,14.420,0.150,RENT,N,2,0
24,102000,8,14.220,0.150,RENT,N,4,0
22,30000,3,13.490,0.330,MORTGAGE,N,2,1
21,33000,0,12.610,0.060,RENT,Y,3,1
24,53000,3,10.360,0.040,RENT,N,2,0
26,30000,5,11.990,0.070,MORTGAGE,N,2,1
25,130000,3,6.990,0.020,RENT,N,4,0
22,14400,0,14.830,0.150,RENT,N,3,1
24,54000,8,17.140,0.040,RENT,N,4,1
24,30000,7,12.610,0.330,OWN,N,3,0
24,30000,7,6.540,0.510,OWN,N,3,0
22,27996,0,15.950,0.080,RENT,Y,2,1
25,30000,0,14.350,0.200,MORTGAGE,Y,2,0
24,30000,8,13.480,0.170,MORTGAGE,Y,2,1
26,30000,3,10.620,0.500,MORTGAGE,N,2,0
22,21600,1,16.290,0.110,RENT,N,4,1
22,26400,0,13.920,0.090,RENT,N,3,1
24,28800,0,14.260,0.080,RENT,Y,4,1
21,30000,1,17.190,0.080,RENT,Y,2,1
25,52000,0,7.880,0.050,RENT,N,4,0
26,54000,2,14.090,0.040,RENT,N,2,1
25,30200,9,10.200,0.500,MORTGAGE,N,2,0
26,31000,9,7.900,0.480,MORTGAGE,N,4,1
24,72000,3,7.290,0.180,RENT,N,3,0
25,31000,7,7.660,0.190,MORTGAGE,N,2,0
24,31000,8,5.420,0.260,MORTGAGE,N,4,0
26,28800,0,14.460,0.450,RENT,N,2,1
25,31200,9,17.580,0.080,MORTGAGE,Y,4,1
26,31200,4,7.510,0.270,MORTGAGE,N,3,0
22,34000,2,13.570,0.070,RENT,Y,3,1
24,36000,2,16.770,0.070,RENT,N,3,1
22,37000,2,17.490,0.070,RENT,N,3,1
24,32000,5,5.420,0.190,MORTGAGE,N,4,0
24,64000,4,11.140,0.040,RENT,N,3,1
24,79800,8,9.620,0.030,RENT,N,2,0
25,20800,0,15.210,0.130,RENT,Y,4,1
25,32000,1,7.680,0.080,MORTGAGE,N,3,1
23,32000,0,12.800,0.080,MORTGAGE,Y,3,1
21,14400,2,9.630,0.210,RENT,N,2,1
22,16320,0,13.920,0.180,RENT,Y,4,1
23,18000,1,15.990,0.170,RENT,Y,2,1
21,18864,0,10.990,0.160,RENT,N,4,1
26,32500,0,8.590,0.110,MORTGAGE,N,2,0
21,33000,5,14.270,0.060,MORTGAGE,N,4,1
25,30000,4,12.210,0.100,RENT,N,4,1
24,33360,7,7.140,0.070,MORTGAGE,N,3,0
25,50000,5,6.030,0.060,RENT,N,3,0
26,44000,0,7.490,0.070,RENT,N,4,1
24,51600,8,10.650,0.060,RENT,N,3,0
24,51600,1,12.680,0.060,RENT,Y,4,0
21,33996,2,7.880,0.070,MORTGAGE,N,3,1
24,50000,1,7.510,0.240,RENT,N,4,0
25,34000,1,6.030,0.070,MORTGAGE,N,2,0
25,46800,5,13.110,0.260,RENT,Y,4,1
25,54996,3,10.370,0.220,RENT,N,2,0
24,34000,2,14.110,0.180,MORTGAGE,N,4,0
24,56000,4,8.940,0.210,RENT,N,3,0
23,34662,1,10.750,0.090,MORTGAGE,N,4,1
24,35000,9,11.710,0.230,MORTGAGE,N,2,0
26,35000,3,6.030,0.140,OWN,N,2,0
26,60996,6,12.220,0.050,RENT,Y,4,0
23,57000,6,14.590,0.050,RENT,N,2,1
24,35000,1,16.290,0.200,OWN,Y,4,0
24,35000,2,7.900,0.210,MORTGAGE,N,3,0
25,65000,1,8.490,0.050,RENT,N,4,0
26,72054,9,7.290,0.040,RENT,N,2,0
25,77500,3,6.540,0.040,RENT,N,4,0
25,35000,5,11.990,0.290,MORTGAGE,N,4,0
24,100000,0,9.760,0.030,RENT,N,3,0
24,115154,8,14.270,0.030,RENT,N,2,0
24,120390,8,5.790,0.020,RENT,N,4,0
26,35000,10,9.250,0.070,MORTGAGE,N,3,0
21,15300,5,10.990,0.210,RENT,N,4,1
25,29004,0,17.490,0.110,RENT,Y,2,1
26,29000,1,11.140,0.390,MORTGAGE,N,4,1
22,54000,5,16.490,0.060,RENT,Y,4,1
24,65004,0,9.990,0.050,RENT,N,4,0
25,78000,5,12.990,0.040,RENT,Y,4,0
24,83000,3,6.990,0.040,RENT,N,3,0
25,78000,2,14.590,0.040,RENT,Y,3,1
21,12000,2,9.990,0.270,RENT,N,2,1
25,35000,1,12.170,0.150,MORTGAGE,N,4,0
26,29000,0,15.620,0.120,RENT,Y,4,1
23,51996,0,17.580,0.070,RENT,N,4,1
26,14000,8,12.690,0.250,RENT,N,3,1
25,25000,5,11.990,0.140,RENT,N,4,1
24,24000,2,15.650,0.150,RENT,Y,3,1
21,30000,5,13.990,0.440,MORTGAGE,N,3,1
26,58000,0,8.590,0.060,RENT,N,2,0
23,30000,6,6.990,0.220,MORTGAGE,N,3,1
22,18000,0,6.910,0.200,RENT,N,3,1
25,33772,3,16.020,0.110,RENT,Y,2,1
26,36000,3,7.510,0.150,MORTGAGE,N,4,0
22,34000,2,15.990,0.320,RENT,N,3,1
26,53004,10,5.790,0.210,RENT,N,4,0
23,30000,0,9.320,0.030,MORTGAGE,N,4,1
24,36000,3,9.380,0.180,MORTGAGE,N,4,0
24,65000,5,7.510,0.170,RENT,N,4,0
26,36000,8,12.290,0.170,MORTGAGE,Y,4,0
26,70000,5,6.620,0.160,RENT,N,4,0
25,80004,9,12.530,0.140,RENT,N,4,0
21,30297,5,13.220,0.250,MORTGAGE,Y,4,1
22,35500,6,12.840,0.310,RENT,N,4,1
21,57000,6,16.770,0.190,RENT,N,4,1
26,69000,11,7.510,0.160,RENT,N,4,1
24,24000,0,15.200,0.450,RENT,Y,2,1
22,29950,0,14.110,0.360,RENT,N,3,1
25,39000,1,14.590,0.280,RENT,Y,4,1
24,62467,0,8.490,0.170,RENT,N,2,0
22,49000,1,9.380,0.210,RENT,N,2,1
26,54996,1,7.290,0.190,RENT,N,2,0
25,60000,3,6.620,0.170,RENT,N,4,0
22,44000,3,13.430,0.080,RENT,Y,2,1
25,55200,0,13.980,0.070,RENT,N,4,0
26,63000,10,6.760,0.060,RENT,N,4,0
25,37560,4,10.990,0.130,OWN,N,3,0
26,75000,0,8.940,0.050,RENT,N,4,0
22,93000,1,16.770,0.040,RENT,Y,3,1
25,31800,1,12.530,0.310,OTHER,N,3,1
26,38000,1,7.510,0.230,MORTGAGE,N,2,0
25,38000,9,8.900,0.140,MORTGAGE,N,2,0
22,11000,3,8.880,0.350,RENT,N,4,1
25,38000,9,6.990,0.240,MORTGAGE,N,4,0
21,13200,2,6.390,0.300,RENT,N,3,1
22,14400,4,7.290,0.280,RENT,N,4,1
24,38000,4,7.140,0.210,MORTGAGE,N,3,0
24,38000,3,10.990,0.420,MORTGAGE,N,3,0
24,38400,8,10.990,0.260,MORTGAGE,N,2,0
24,32000,2,17.930,0.130,RENT,N,3,1
22,32484,6,7.510,0.190,MORTGAGE,N,4,1
25,29000,1,14.540,0.140,RENT,Y,3,1
25,39000,9,13.990,0.080,MORTGAGE,Y,3,0
24,39000,3,5.420,0.140,MORTGAGE,N,4,0
26,33000,0,13.720,0.270,MORTGAGE,N,2,1
21,33000,2,7.140,0.100,MORTGAGE,N,3,1
23,35000,2,12.180,0.110,RENT,N,4,1
21,36000,5,12.990,0.110,RENT,N,4,1
25,39600,5,12.420,0.120,MORTGAGE,N,4,0
24,42000,8,11.860,0.100,RENT,N,2,1
24,42000,2,12.730,0.100,RENT,Y,3,1
24,50000,1,5.420,0.080,RENT,N,2,0
22,44582,6,5.990,0.090,RENT,N,4,1
26,39990,3,14.270,0.060,MORTGAGE,Y,2,0
22,63000,6,11.120,0.060,RENT,N,2,1
23,88000,4,7.140,0.050,RENT,N,4,1
26,131000,10,12.840,0.030,RENT,Y,3,0
26,158000,0,14.840,0.030,RENT,N,3,1
26,40000,6,11.990,0.150,MORTGAGE,N,2,0
22,14400,0,19.910,0.310,RENT,N,4,1
24,40000,5,7.490,0.380,MORTGAGE,N,2,0
24,40000,2,9.990,0.060,MORTGAGE,N,2,0
25,40000,1,7.290,0.100,MORTGAGE,N,2,0
26,40000,10,5.420,0.130,MORTGAGE,N,2,0
26,40000,0,11.860,0.250,OWN,N,4,0
22,48300,0,9.760,0.090,RENT,N,2,1
23,54000,5,8.490,0.080,RENT,N,2,1
25,60000,9,10.990,0.070,RENT,N,2,1
25,84000,0,12.180,0.050,RENT,N,2,0
26,130000,0,13.570,0.040,RENT,Y,2,0
25,34000,2,13.480,0.170,MORTGAGE,Y,3,1
24,40000,1,8.940,0.230,OWN,N,3,0
24,40000,8,13.220,0.190,OWN,N,3,0
25,34000,8,10.510,0.090,MORTGAGE,N,3,1
24,40113,6,7.140,0.120,MORTGAGE,N,2,0
25,30000,0,15.950,0.160,RENT,Y,2,1
25,40500,5,9.630,0.160,MORTGAGE,N,4,0
26,40610,7,7.140,0.090,MORTGAGE,N,4,0
26,60000,1,7.900,0.080,RENT,N,3,0
24,60000,4,6.540,0.080,RENT,N,4,0
26,65000,0,13.720,0.070,RENT,N,2,0
25,65004,1,13.490,0.070,RENT,N,3,0
24,72096,2,7.140,0.070,RENT,N,2,0
24,41000,9,15.330,0.240,OWN,N,4,0
24,54000,0,8.490,0.090,RENT,N,2,0
26,96000,11,19.690,0.100,RENT,Y,3,0
24,97850,5,7.510,0.100,RENT,N,4,0
26,113000,3,13.720,0.090,RENT,Y,3,0
24,41600,0,8.940,0.240,MORTGAGE,N,2,0
25,41664,6,5.990,0.100,MORTGAGE,N,2,0
26,120000,11,12.680,0.080,RENT,N,2,0
23,35941,7,13.350,0.100,MORTGAGE,N,2,1
24,120000,4,13.610,0.080,RENT,Y,4,0
25,130000,7,7.490,0.080,RENT,N,2,0
25,42000,9,9.910,0.290,MORTGAGE,N,2,0
25,132000,4,12.840,0.080,RENT,Y,3,0
24,140000,0,11.140,0.070,RENT,N,2,0
26,145000,1,10.990,0.070,RENT,N,3,0
25,175000,4,15.050,0.060,RENT,Y,4,0
24,42000,4,6.990,0.290,MORTGAGE,N,3,0
24,53500,0,6.170,0.180,RENT,N,4,0
26,93000,7,10.250,0.110,RENT,N,4,0
23,36000,7,11.490,0.190,MORTGAGE,N,2,1
26,36000,1,10.590,0.130,MORTGAGE,N,2,1
24,42000,8,15.280,0.060,MORTGAGE,N,2,0
22,30000,0,8.880,0.170,RENT,N,3,1
25,42000,9,10.000,0.080,MORTGAGE,N,3,0
25,42000,3,5.420,0.240,MORTGAGE,N,2,0
23,32000,4,12.690,0.160,RENT,N,4,1
24,36000,8,7.140,0.170,MORTGAGE,N,4,1
26,36000,2,11.490,0.170,MORTGAGE,N,2,1
23,34800,1,10.990,0.140,RENT,N,2,1
24,42000,2,8.590,0.170,MORTGAGE,N,2,0
24,30000,1,15.700,0.170,RENT,Y,4,1
25,42000,9,9.630,0.190,OWN,N,2,0
26,36000,10,12.290,0.140,MORTGAGE,Y,3,1
25,42240,10,6.620,0.190,OWN,N,4,0
24,33996,2,14.960,0.150,RENT,N,2,1
25,35280,0,14.960,0.140,RENT,N,3,1
24,43000,5,13.490,0.060,MORTGAGE,Y,4,0
23,37200,7,10.590,0.190,MORTGAGE,N,2,1
26,43200,10,9.880,0.060,MORTGAGE,N,4,0
24,43200,0,14.260,0.230,MORTGAGE,Y,4,0
23,44000,6,16.770,0.110,RENT,N,2,1
24,50000,1,7.490,0.100,RENT,N,2,0
25,43500,2,9.630,0.210,MORTGAGE,N,4,0
26,37800,10,14.960,0.190,MORTGAGE,N,4,1
25,44000,6,6.030,0.160,MORTGAGE,N,3,0
24,65000,5,6.030,0.140,RENT,N,4,0
23,59000,0,15.280,0.150,RENT,N,4,1
26,44000,0,6.910,0.190,MORTGAGE,N,4,0
25,72500,2,10.590,0.120,RENT,N,2,0
25,44000,7,7.400,0.110,MORTGAGE,N,3,0
24,86250,1,12.690,0.100,RENT,N,2,0
25,115000,2,7.510,0.080,RENT,N,3,0
25,19240,0,10.650,0.460,RENT,N,4,1
24,25000,0,12.210,0.340,RENT,N,2,1
25,45000,9,6.030,0.150,MORTGAGE,N,2,0
26,45000,10,6.990,0.180,MORTGAGE,N,2,0
22,30000,4,15.050,0.280,RENT,Y,4,1
24,45000,6,5.420,0.090,MORTGAGE,N,3,0
26,45000,10,13.990,0.310,MORTGAGE,Y,2,0
25,45000,6,9.990,0.220,MORTGAGE,N,4,0
25,69000,5,6.920,0.120,RENT,N,4,1
25,45000,9,9.990,0.070,MORTGAGE,N,4,0
25,53000,3,12.530,0.090,RENT,Y,3,0
26,54996,3,11.860,0.090,RENT,N,2,0
24,54996,0,10.390,0.090,RENT,N,2,0
24,50000,1,15.620,0.100,RENT,N,4,1
26,51600,1,8.940,0.100,RENT,N,2,1
24,57692,2,13.230,0.090,RENT,Y,3,0
24,57996,1,8.000,0.090,RENT,N,3,0
24,57996,4,13.240,0.090,RENT,N,4,0
24,58800,5,7.290,0.090,RENT,N,3,0
24,45000,8,7.140,0.090,MORTGAGE,N,2,0
25,60000,8,15.570,0.080,RENT,N,4,0
24,39000,2,14.220,0.410,MORTGAGE,N,4,1
24,45000,2,10.620,0.290,MORTGAGE,N,2,0
25,63000,9,10.740,0.080,RENT,N,3,0
26,45000,0,13.920,0.090,MORTGAGE,N,2,0
24,65000,1,10.250,0.080,RENT,N,2,0
24,73500,3,12.990,0.070,RENT,N,4,0
25,45000,1,11.030,0.200,OWN,N,2,0
25,76344,2,9.630,0.070,RENT,N,2,0
24,78300,0,7.740,0.060,RENT,N,3,0
24,83100,5,16.350,0.060,RENT,N,3,0
23,78000,0,6.620,0.060,RENT,N,4,1
26,45608,8,6.620,0.240,OWN,N,2,0
24,115000,1,8.900,0.040,RENT,N,3,0
24,116300,6,14.960,0.040,RENT,Y,4,0
26,120000,3,7.680,0.040,RENT,N,2,0
26,46000,3,12.690,0.240,MORTGAGE,N,2,0
25,40000,5,11.360,0.380,MORTGAGE,N,2,1
26,25300,2,16.020,0.210,RENT,Y,2,1
24,46500,0,12.530,0.340,MORTGAGE,Y,3,0
25,40800,5,19.030,0.170,OWN,N,4,1
26,46800,3,12.420,0.270,MORTGAGE,N,2,0
24,47000,4,7.660,0.130,MORTGAGE,N,3,0
26,51000,3,13.490,0.110,RENT,Y,2,1
25,57000,1,10.990,0.100,RENT,N,4,0
26,51600,10,11.990,0.110,RENT,N,3,1
24,47000,3,12.210,0.260,MORTGAGE,N,4,0
21,18000,1,18.090,0.310,RENT,N,4,1
24,47500,8,7.740,0.150,MORTGAGE,N,3,0
25,47700,1,7.900,0.260,MORTGAGE,N,4,0
22,39000,1,14.960,0.140,RENT,N,4,1
25,147750,3,9.990,0.040,RENT,N,4,0
26,48000,10,5.420,0.080,MORTGAGE,N,2,0
25,34000,0,11.110,0.170,RENT,N,4,1
25,78000,3,7.290,0.080,RENT,N,3,0
22,18200,4,7.660,0.330,RENT,N,3,1
25,19200,2,13.110,0.310,RENT,Y,2,1
24,48000,5,6.910,0.350,MORTGAGE,N,4,0
21,23040,0,7.900,0.260,RENT,N,2,1
23,25200,0,13.230,0.240,RENT,Y,4,1
25,48000,5,8.940,0.160,MORTGAGE,N,2,0
26,48000,7,14.260,0.350,MORTGAGE,Y,3,0
21,28800,2,10.620,0.210,RENT,N,3,1
24,48000,3,12.530,0.060,OWN,Y,4,0
24,30000,2,15.990,0.200,RENT,Y,3,1
24,32000,1,13.490,0.190,RENT,N,3,1
26,48500,9,7.290,0.270,MORTGAGE,N,3,0
22,42996,7,13.790,0.280,MORTGAGE,N,4,1
26,29364,4,13.350,0.200,RENT,Y,4,1
24,49000,5,6.920,0.060,MORTGAGE,N,4,0
25,49000,2,10.000,0.370,MORTGAGE,N,4,0
25,49000,4,6.760,0.050,OWN,N,4,0
26,49200,11,11.110,0.220,OWN,N,3,0
26,49441,11,6.990,0.240,OWN,N,4,0
24,49600,8,7.400,0.050,MORTGAGE,N,2,0
24,44000,4,8.900,0.050,MORTGAGE,N,4,1
25,50000,6,14.270,0.220,MORTGAGE,Y,4,0
25,50000,2,11.710,0.400,OWN,N,4,0
24,50000,7,12.690,0.400,OWN,N,2,0
22,39000,6,13.220,0.150,RENT,Y,2,1
22,40680,2,11.360,0.150,RENT,N,4,1
23,42000,1,12.990,0.140,RENT,N,4,1
26,50000,5,10.990,0.250,MORTGAGE,N,3,0
24,42000,2,14.960,0.140,RENT,Y,3,1
24,50000,7,13.990,0.120,MORTGAGE,Y,4,0
25,50000,5,12.990,0.120,RENT,Y,3,0
25,50000,9,14.170,0.120,RENT,N,3,0
26,45928,5,7.900,0.130,RENT,N,4,1
25,50000,9,10.000,0.160,MORTGAGE,N,2,0
26,52000,10,15.680,0.120,RENT,N,3,0
25,53000,9,7.900,0.110,RENT,N,4,0
26,55000,6,7.140,0.110,RENT,N,4,0
25,56000,1,10.740,0.110,RENT,N,2,0
24,54000,3,10.990,0.110,RENT,N,2,1
26,50000,11,11.490,0.040,OWN,N,4,0
24,50000,8,7.140,0.180,MORTGAGE,N,2,0
25,50000,3,13.610,0.100,MORTGAGE,Y,2,0
24,60000,0,11.480,0.100,RENT,N,2,0
25,96000,9,5.990,0.070,RENT,N,4,0
22,10000,0,12.210,0.700,RENT,N,2,1
22,18000,1,10.650,0.390,RENT,N,2,1
21,18000,5,11.140,0.390,RENT,N,4,1
21,19200,5,14.350,0.360,RENT,N,2,1
26,22480,0,8.000,0.310,RENT,N,4,1
26,63000,3,13.230,0.100,RENT,N,2,0
24,69996,0,13.060,0.090,RENT,N,2,0
26,50000,10,16.000,0.300,MORTGAGE,N,3,0
24,50000,4,9.630,0.120,MORTGAGE,N,3,0
26,50000,4,13.470,0.200,OWN,Y,2,0
24,50000,0,7.680,0.100,OTHER,N,3,0
24,80490,8,10.590,0.070,RENT,N,3,0
26,82000,8,7.880,0.070,RENT,N,3,0
26,50004,2,13.870,0.220,OWN,Y,4,0
25,50300,3,18.390,0.020,MORTGAGE,Y,3,0
25,90000,9,13.490,0.070,RENT,N,4,0
25,90000,4,7.880,0.070,RENT,N,3,0
25,50400,5,9.620,0.240,MORTGAGE,N,4,0
24,95000,3,10.990,0.060,RENT,N,4,0
25,50400,0,14.590,0.120,OWN,N,2,0
25,96000,0,6.990,0.060,RENT,N,4,0
22,93000,6,8.940,0.060,RENT,N,4,1
25,150000,3,13.480,0.040,RENT,N,2,0
25,50000,9,10.000,0.120,RENT,N,2,0
25,50988,9,9.990,0.080,OWN,N,3,0
26,51000,11,9.990,0.180,MORTGAGE,N,3,0
23,19250,1,16.820,0.320,RENT,Y,4,1
24,51000,5,7.140,0.070,MORTGAGE,N,2,0
26,51000,3,7.740,0.200,MORTGAGE,N,3,0
24,51000,4,8.940,0.170,MORTGAGE,N,3,0
24,51024,8,12.990,0.040,MORTGAGE,Y,4,0
25,60000,3,6.920,0.120,RENT,N,2,0
26,51500,3,15.210,0.190,MORTGAGE,Y,4,0
26,51600,10,9.880,0.290,OWN,N,3,0
25,51669,2,10.370,0.230,MORTGAGE,N,4,0
26,51700,2,7.510,0.260,OWN,N,4,0
25,45996,9,12.680,0.240,MORTGAGE,N,2,1
25,70356,8,7.290,0.100,RENT,N,4,0
25,72700,4,14.840,0.100,RENT,Y,2,0
25,52000,8,10.650,0.280,MORTGAGE,N,4,0
22,28500,2,14.840,0.220,RENT,N,4,1
26,46000,8,9.990,0.150,MORTGAGE,N,3,1
24,52000,8,10.000,0.290,MORTGAGE,N,2,0
24,118000,5,8.490,0.060,RENT,N,2,0
26,52000,10,9.620,0.210,MORTGAGE,N,2,0
25,52000,5,7.880,0.230,MORTGAGE,N,3,0
26,52000,2,9.880,0.190,MORTGAGE,N,4,0
26,52000,3,14.590,0.050,MORTGAGE,N,4,0
22,35325,2,15.950,0.180,RENT,N,2,1
25,52160,5,11.890,0.030,MORTGAGE,N,2,0
25,72600,5,7.740,0.090,RENT,N,2,0
24,52739,8,9.380,0.150,MORTGAGE,N,2,0
24,30000,2,13.060,0.220,RENT,N,2,1
25,53000,4,9.910,0.140,OWN,N,3,0
25,53000,4,6.620,0.110,MORTGAGE,N,3,0
26,53000,2,9.910,0.050,OWN,N,2,0
24,53000,8,6.030,0.150,MORTGAGE,N,2,0
